Trait,corr_prop_emp_pval,n_genes
finngen_R12_ABDOM_HERNIA,0.3660716954988706,18408
finngen_R12_ALCOPANCCHRON,0.24843311115911385,18409
finngen_R12_AUTOIMMUNE,0.29997039754214905,18397
finngen_R12_AUTOIMMUNE_NONTHYROID,0.31814028064247135,18403
finngen_R12_I9_CHD,0.39266160568221126,18399
finngen_R12_I9_HYPTENS,0.3536923125684205,18385
finngen_R12_K11_IBD_STRICT,0.41272137818413607,18394
finngen_R12_L12_ATOPIC,0.37264112481367184,18407
finngen_R12_T1D,0.34745680411521024,18405
finngen_R12_T2D_WIDE,0.3211786190345595,18401
