ot_cutoff,cp_cutoff,cp_label,n_gold,TP,FN,precision_pct,sensitivity_pct
0.1,0.0,none,10707,1018,9689,6.24,9.51
0.1,0.25,>=0.25,10707,1018,9689,6.24,9.51
0.1,0.5,>=0.5,10707,1018,9689,6.24,9.51
0.1,0.75,>=0.75,10707,1018,9689,6.24,9.51
0.2,0.0,none,9848,937,8911,5.74,9.51
0.2,0.25,>=0.25,9854,939,8915,5.76,9.53
0.2,0.5,>=0.5,9848,937,8911,5.74,9.51
0.2,0.75,>=0.75,9848,937,8911,5.74,9.51
0.3,0.0,none,7797,777,7020,4.76,9.97
0.3,0.25,>=0.25,7909,788,7121,4.83,9.96
0.3,0.5,>=0.5,7797,777,7020,4.76,9.97
0.3,0.75,>=0.75,7797,777,7020,4.76,9.97
0.4,0.0,none,4116,476,3640,2.92,11.56
0.4,0.25,>=0.25,4728,517,4211,3.17,10.93
0.4,0.5,>=0.5,4550,501,4049,3.07,11.01
0.4,0.75,>=0.75,4116,476,3640,2.92,11.56
0.5,0.0,none,1751,255,1496,1.56,14.56
0.5,0.25,>=0.25,2506,312,2194,1.91,12.45
0.5,0.5,>=0.5,2313,294,2019,1.8,12.71
0.5,0.75,>=0.75,1772,256,1516,1.57,14.45
0.6,0.0,none,508,104,404,0.64,20.47
0.6,0.25,>=0.25,1458,182,1276,1.12,12.48
0.6,0.5,>=0.5,1256,163,1093,1.0,12.98
0.6,0.75,>=0.75,698,121,577,0.74,17.34
