Trait,n_seeds,n_significant,n_ot_gold,n_clinical_gold,n_any_gold,TP,Novel_sig,FN,precision_pct,sensitivity_pct,ot_cutoff,combine_mode
AD_EO_EXMORE,5,1354,700,52,700,58,1296,623,4.28,8.52,0.3,OR
AD_EO_EXMORE,5,1354,700,52,52,9,1345,43,0.66,17.31,0.3,AND
ALLERG_ASTHMA,6,1027,14,1,14,6,1021,7,0.58,46.15,0.3,OR
ALLERG_ASTHMA,6,1027,14,1,1,1,1026,0,0.1,100.0,0.3,AND
ASTHMA_CHILD_EXMORE,5,1821,73,0,73,13,1808,57,0.71,18.57,0.3,OR
ASTHMA_CHILD_EXMORE,5,1821,73,0,0,0,1821,0,0.0,0.0,0.3,AND
AUTOIMMUNE,13,1408,999,167,999,164,1244,803,11.65,16.96,0.3,OR
AUTOIMMUNE,13,1408,999,167,167,39,1369,126,2.77,23.64,0.3,AND
C3_BASAL_CELL_CARCINOMA_EXALLC,12,1125,350,4,350,20,1105,319,1.78,5.9,0.3,OR
C3_BASAL_CELL_CARCINOMA_EXALLC,12,1125,350,4,4,0,1125,4,0.0,0.0,0.3,AND
C3_PROSTATE_EXALLC,8,1283,937,123,937,62,1221,839,4.83,6.88,0.3,OR
C3_PROSTATE_EXALLC,8,1283,937,123,123,8,1275,111,0.62,6.72,0.3,AND
C3_SKIN_EXALLC,8,1201,745,35,745,56,1145,669,4.66,7.72,0.3,OR
C3_SKIN_EXALLC,8,1201,745,35,35,1,1200,34,0.08,2.86,0.3,AND
CARDIAC_ARRHYTM,9,852,820,140,820,33,819,740,3.87,4.27,0.3,OR
CARDIAC_ARRHYTM,9,852,820,140,140,2,850,137,0.23,1.44,0.3,AND
I9_CHD,11,1436,620,154,620,83,1353,500,5.78,14.24,0.3,OR
I9_CHD,11,1436,620,154,154,11,1425,136,0.77,7.48,0.3,AND
I9_HYPTENS,25,1302,951,124,951,96,1206,788,7.37,10.86,0.3,OR
I9_HYPTENS,25,1302,951,124,124,24,1278,94,1.84,20.34,0.3,AND
K11_IBD_STRICT,16,1452,478,47,478,118,1334,330,8.13,26.34,0.3,OR
K11_IBD_STRICT,16,1452,478,47,47,19,1433,27,1.31,41.3,0.3,AND
L12_ATOPIC,3,1032,125,22,125,30,1002,87,2.91,25.64,0.3,OR
L12_ATOPIC,3,1032,125,22,22,8,1024,13,0.78,38.1,0.3,AND
T1D,5,1072,202,77,202,16,1056,181,1.49,8.12,0.3,OR
T1D,5,1072,202,77,77,1,1071,74,0.09,1.33,0.3,AND
T2D_WIDE,9,901,912,95,912,44,857,825,4.88,5.06,0.3,OR
T2D_WIDE,9,901,912,95,95,3,898,90,0.33,3.23,0.3,AND
