Trait,n_seeds,n_gold,topn_FN,emp_FN,topn_FN_pct,emp_FN_pct
AD_EO_EXMORE,5,681,560,623,82.23,91.48
ALLERG_ASTHMA,6,13,8,7,61.54,53.85
ASTHMA_CHILD_EXMORE,5,70,56,57,80.0,81.43
AUTOIMMUNE,13,967,799,805,82.63,83.25
C3_BASAL_CELL_CARCINOMA_EXALLC,12,339,280,318,82.6,93.81
C3_PROSTATE_EXALLC,8,901,761,840,84.46,93.23
C3_SKIN_EXALLC,8,725,602,670,83.03,92.41
CARDIAC_ARRHYTM,9,773,720,739,93.14,95.6
I9_CHD,11,582,498,494,85.57,84.88
I9_HYPTENS,25,883,765,785,86.64,88.9
K11_IBD_STRICT,16,448,326,329,72.77,73.44
T1D,5,197,179,180,90.86,91.37
T2D_WIDE,9,868,832,822,95.85,94.7
