Trait,gene,category
AD_EO_EXMORE,ABCA7,only_emp_caught
AD_EO_EXMORE,ACHE,only_emp_caught
AD_EO_EXMORE,APH1B,only_emp_caught
AD_EO_EXMORE,BACE1,only_emp_caught
AD_EO_EXMORE,BCHE,only_emp_caught
AD_EO_EXMORE,CAND2,only_emp_caught
AD_EO_EXMORE,CHRNA2,only_emp_caught
AD_EO_EXMORE,COMP,only_emp_caught
AD_EO_EXMORE,CR1,only_emp_caught
AD_EO_EXMORE,CSF1R,only_emp_caught
AD_EO_EXMORE,CTSL,only_emp_caught
AD_EO_EXMORE,DDAH1,only_emp_caught
AD_EO_EXMORE,DSTN,only_emp_caught
AD_EO_EXMORE,EPM2A,only_emp_caught
AD_EO_EXMORE,FAM20B,only_emp_caught
AD_EO_EXMORE,ITGB4,only_emp_caught
AD_EO_EXMORE,KLKB1,only_emp_caught
AD_EO_EXMORE,LIPG,only_emp_caught
AD_EO_EXMORE,MPO,only_emp_caught
AD_EO_EXMORE,MTFR1,only_emp_caught
AD_EO_EXMORE,MTMR10,only_emp_caught
AD_EO_EXMORE,NEGR1,only_emp_caught
AD_EO_EXMORE,NEU1,only_emp_caught
AD_EO_EXMORE,PECAM1,only_emp_caught
AD_EO_EXMORE,PSG2,only_emp_caught
AD_EO_EXMORE,PTDSS1,only_emp_caught
AD_EO_EXMORE,PTPRN2,only_emp_caught
AD_EO_EXMORE,QPCT,only_emp_caught
AD_EO_EXMORE,SCLY,only_emp_caught
AD_EO_EXMORE,SLC24A4,only_emp_caught
AD_EO_EXMORE,TFPI,only_emp_caught
AD_EO_EXMORE,TRAPPC11,only_emp_caught
AD_EO_EXMORE,TREML2,only_emp_caught
AD_EO_EXMORE,TSPO,only_emp_caught
AD_EO_EXMORE,ZFHX3,only_emp_caught
AD_EO_EXMORE,ABL1,only_topn_caught
AD_EO_EXMORE,ACTR2,only_topn_caught
AD_EO_EXMORE,ANXA2,only_topn_caught
AD_EO_EXMORE,AP2M1,only_topn_caught
AD_EO_EXMORE,AP2S1,only_topn_caught
AD_EO_EXMORE,ARPC4,only_topn_caught
AD_EO_EXMORE,ATM,only_topn_caught
AD_EO_EXMORE,ATP5F1C,only_topn_caught
AD_EO_EXMORE,ATP8B4,only_topn_caught
AD_EO_EXMORE,AURKA,only_topn_caught
AD_EO_EXMORE,AURKB,only_topn_caught
AD_EO_EXMORE,BIN1,only_topn_caught
AD_EO_EXMORE,CANX,only_topn_caught
AD_EO_EXMORE,CAV1,only_topn_caught
AD_EO_EXMORE,CD33,only_topn_caught
AD_EO_EXMORE,CDC5L,only_topn_caught
AD_EO_EXMORE,CDK1,only_topn_caught
