Trait,gold_type,quadrant,n_total,n_gold,gold_pct
AD_EO_EXMORE,OT>=0.3,UL_low_prop_sig,130,1,0.769
AD_EO_EXMORE,OT>=0.3,UR_high_prop_sig,1224,57,4.657
AD_EO_EXMORE,OT>=0.3,LL_low_prop_nonsig,4471,62,1.387
AD_EO_EXMORE,OT>=0.3,LR_high_prop_nonsig,12580,561,4.459
ALLERG_ASTHMA,OT>=0.3,UL_low_prop_sig,63,0,0.0
ALLERG_ASTHMA,OT>=0.3,UR_high_prop_sig,964,6,0.622
ALLERG_ASTHMA,OT>=0.3,LL_low_prop_nonsig,4538,2,0.044
ALLERG_ASTHMA,OT>=0.3,LR_high_prop_nonsig,12839,5,0.039
ASTHMA_CHILD_EXMORE,OT>=0.3,UL_low_prop_sig,179,1,0.559
ASTHMA_CHILD_EXMORE,OT>=0.3,UR_high_prop_sig,1642,12,0.731
ASTHMA_CHILD_EXMORE,OT>=0.3,LL_low_prop_nonsig,4422,9,0.204
ASTHMA_CHILD_EXMORE,OT>=0.3,LR_high_prop_nonsig,12162,48,0.395
AUTOIMMUNE,OT>=0.3,UL_low_prop_sig,125,6,4.8
AUTOIMMUNE,OT>=0.3,UR_high_prop_sig,1283,158,12.315
AUTOIMMUNE,OT>=0.3,LL_low_prop_nonsig,4474,106,2.369
AUTOIMMUNE,OT>=0.3,LR_high_prop_nonsig,12515,697,5.569
C3_BASAL_CELL_CARCINOMA_EXALLC,OT>=0.3,UL_low_prop_sig,108,1,0.926
C3_BASAL_CELL_CARCINOMA_EXALLC,OT>=0.3,UR_high_prop_sig,1017,19,1.868
C3_BASAL_CELL_CARCINOMA_EXALLC,OT>=0.3,LL_low_prop_nonsig,4492,18,0.401
C3_BASAL_CELL_CARCINOMA_EXALLC,OT>=0.3,LR_high_prop_nonsig,12781,301,2.355
C3_PROSTATE_EXALLC,OT>=0.3,UL_low_prop_sig,142,1,0.704
C3_PROSTATE_EXALLC,OT>=0.3,UR_high_prop_sig,1141,61,5.346
C3_PROSTATE_EXALLC,OT>=0.3,LL_low_prop_nonsig,4459,78,1.749
C3_PROSTATE_EXALLC,OT>=0.3,LR_high_prop_nonsig,12660,761,6.011
C3_SKIN_EXALLC,OT>=0.3,UL_low_prop_sig,105,2,1.905
C3_SKIN_EXALLC,OT>=0.3,UR_high_prop_sig,1096,54,4.927
C3_SKIN_EXALLC,OT>=0.3,LL_low_prop_nonsig,4496,46,1.023
C3_SKIN_EXALLC,OT>=0.3,LR_high_prop_nonsig,12705,623,4.904
CARDIAC_ARRHYTM,OT>=0.3,UL_low_prop_sig,77,3,3.896
CARDIAC_ARRHYTM,OT>=0.3,UR_high_prop_sig,775,30,3.871
CARDIAC_ARRHYTM,OT>=0.3,LL_low_prop_nonsig,4523,128,2.83
CARDIAC_ARRHYTM,OT>=0.3,LR_high_prop_nonsig,13026,612,4.698
I9_CHD,OT>=0.3,UL_low_prop_sig,127,1,0.787
I9_CHD,OT>=0.3,UR_high_prop_sig,1309,82,6.264
I9_CHD,OT>=0.3,LL_low_prop_nonsig,4473,62,1.386
I9_CHD,OT>=0.3,LR_high_prop_nonsig,12490,438,3.507
I9_HYPTENS,OT>=0.3,UL_low_prop_sig,116,1,0.862
I9_HYPTENS,OT>=0.3,UR_high_prop_sig,1186,95,8.01
I9_HYPTENS,OT>=0.3,LL_low_prop_nonsig,4480,139,3.103
I9_HYPTENS,OT>=0.3,LR_high_prop_nonsig,12603,649,5.15
K11_IBD_STRICT,OT>=0.3,UL_low_prop_sig,138,3,2.174
K11_IBD_STRICT,OT>=0.3,UR_high_prop_sig,1314,115,8.752
K11_IBD_STRICT,OT>=0.3,LL_low_prop_nonsig,4461,58,1.3
K11_IBD_STRICT,OT>=0.3,LR_high_prop_nonsig,12481,272,2.179
L12_ATOPIC,OT>=0.3,UL_low_prop_sig,99,3,3.03
L12_ATOPIC,OT>=0.3,UR_high_prop_sig,933,27,2.894
L12_ATOPIC,OT>=0.3,LL_low_prop_nonsig,4503,14,0.311
L12_ATOPIC,OT>=0.3,LR_high_prop_nonsig,12872,73,0.567
T1D,OT>=0.3,UL_low_prop_sig,80,2,2.5
T1D,OT>=0.3,UR_high_prop_sig,992,14,1.411
T1D,OT>=0.3,LL_low_prop_nonsig,4521,16,0.354
T1D,OT>=0.3,LR_high_prop_nonsig,12812,165,1.288
T2D_WIDE,OT>=0.3,UL_low_prop_sig,70,1,1.429
T2D_WIDE,OT>=0.3,UR_high_prop_sig,831,43,5.174
T2D_WIDE,OT>=0.3,LL_low_prop_nonsig,4530,128,2.826
T2D_WIDE,OT>=0.3,LR_high_prop_nonsig,12970,697,5.374
AD_EO_EXMORE,OT>=0.5,UL_low_prop_sig,130,0,0.0
AD_EO_EXMORE,OT>=0.5,UR_high_prop_sig,1224,13,1.062
AD_EO_EXMORE,OT>=0.5,LL_low_prop_nonsig,4471,1,0.022
AD_EO_EXMORE,OT>=0.5,LR_high_prop_nonsig,12580,71,0.564
ASTHMA_CHILD_EXMORE,OT>=0.5,UL_low_prop_sig,179,0,0.0
ASTHMA_CHILD_EXMORE,OT>=0.5,UR_high_prop_sig,1642,2,0.122
ASTHMA_CHILD_EXMORE,OT>=0.5,LL_low_prop_nonsig,4422,0,0.0
ASTHMA_CHILD_EXMORE,OT>=0.5,LR_high_prop_nonsig,12162,3,0.025
AUTOIMMUNE,OT>=0.5,UL_low_prop_sig,125,1,0.8
AUTOIMMUNE,OT>=0.5,UR_high_prop_sig,1283,73,5.69
AUTOIMMUNE,OT>=0.5,LL_low_prop_nonsig,4474,43,0.961
AUTOIMMUNE,OT>=0.5,LR_high_prop_nonsig,12515,234,1.87
C3_BASAL_CELL_CARCINOMA_EXALLC,OT>=0.5,UL_low_prop_sig,108,0,0.0
C3_BASAL_CELL_CARCINOMA_EXALLC,OT>=0.5,UR_high_prop_sig,1017,4,0.393
C3_BASAL_CELL_CARCINOMA_EXALLC,OT>=0.5,LL_low_prop_nonsig,4492,1,0.022
C3_BASAL_CELL_CARCINOMA_EXALLC,OT>=0.5,LR_high_prop_nonsig,12781,28,0.219
C3_PROSTATE_EXALLC,OT>=0.5,UL_low_prop_sig,142,0,0.0
C3_PROSTATE_EXALLC,OT>=0.5,UR_high_prop_sig,1141,21,1.84
C3_PROSTATE_EXALLC,OT>=0.5,LL_low_prop_nonsig,4459,10,0.224
C3_PROSTATE_EXALLC,OT>=0.5,LR_high_prop_nonsig,12660,115,0.908
C3_SKIN_EXALLC,OT>=0.5,UL_low_prop_sig,105,1,0.952
C3_SKIN_EXALLC,OT>=0.5,UR_high_prop_sig,1096,27,2.464
C3_SKIN_EXALLC,OT>=0.5,LL_low_prop_nonsig,4496,10,0.222
C3_SKIN_EXALLC,OT>=0.5,LR_high_prop_nonsig,12705,337,2.652
CARDIAC_ARRHYTM,OT>=0.5,UL_low_prop_sig,77,0,0.0
CARDIAC_ARRHYTM,OT>=0.5,UR_high_prop_sig,775,5,0.645
CARDIAC_ARRHYTM,OT>=0.5,LL_low_prop_nonsig,4523,11,0.243
CARDIAC_ARRHYTM,OT>=0.5,LR_high_prop_nonsig,13026,129,0.99
I9_CHD,OT>=0.5,UL_low_prop_sig,127,0,0.0
I9_CHD,OT>=0.5,UR_high_prop_sig,1309,29,2.215
I9_CHD,OT>=0.5,LL_low_prop_nonsig,4473,5,0.112
I9_CHD,OT>=0.5,LR_high_prop_nonsig,12490,73,0.584
I9_HYPTENS,OT>=0.5,UL_low_prop_sig,116,0,0.0
I9_HYPTENS,OT>=0.5,UR_high_prop_sig,1186,25,2.108
I9_HYPTENS,OT>=0.5,LL_low_prop_nonsig,4480,14,0.312
I9_HYPTENS,OT>=0.5,LR_high_prop_nonsig,12603,101,0.801
K11_IBD_STRICT,OT>=0.5,UL_low_prop_sig,138,0,0.0
K11_IBD_STRICT,OT>=0.5,UR_high_prop_sig,1314,36,2.74
K11_IBD_STRICT,OT>=0.5,LL_low_prop_nonsig,4461,7,0.157
K11_IBD_STRICT,OT>=0.5,LR_high_prop_nonsig,12481,39,0.312
L12_ATOPIC,OT>=0.5,UL_low_prop_sig,99,0,0.0
L12_ATOPIC,OT>=0.5,UR_high_prop_sig,933,12,1.286
L12_ATOPIC,OT>=0.5,LL_low_prop_nonsig,4503,0,0.0
L12_ATOPIC,OT>=0.5,LR_high_prop_nonsig,12872,11,0.085
T1D,OT>=0.5,UL_low_prop_sig,80,0,0.0
T1D,OT>=0.5,UR_high_prop_sig,992,3,0.302
T1D,OT>=0.5,LL_low_prop_nonsig,4521,3,0.066
T1D,OT>=0.5,LR_high_prop_nonsig,12812,20,0.156
T2D_WIDE,OT>=0.5,UL_low_prop_sig,70,0,0.0
T2D_WIDE,OT>=0.5,UR_high_prop_sig,831,10,1.203
T2D_WIDE,OT>=0.5,LL_low_prop_nonsig,4530,14,0.309
T2D_WIDE,OT>=0.5,LR_high_prop_nonsig,12970,159,1.226
AD_EO_EXMORE,OT>=0.75,UL_low_prop_sig,130,0,0.0
AD_EO_EXMORE,OT>=0.75,UR_high_prop_sig,1224,2,0.163
AD_EO_EXMORE,OT>=0.75,LL_low_prop_nonsig,4471,0,0.0
AD_EO_EXMORE,OT>=0.75,LR_high_prop_nonsig,12580,1,0.008
AUTOIMMUNE,OT>=0.75,UL_low_prop_sig,125,0,0.0
AUTOIMMUNE,OT>=0.75,UR_high_prop_sig,1283,8,0.624
AUTOIMMUNE,OT>=0.75,LL_low_prop_nonsig,4474,4,0.089
AUTOIMMUNE,OT>=0.75,LR_high_prop_nonsig,12515,16,0.128
C3_BASAL_CELL_CARCINOMA_EXALLC,OT>=0.75,UL_low_prop_sig,108,0,0.0
C3_BASAL_CELL_CARCINOMA_EXALLC,OT>=0.75,UR_high_prop_sig,1017,0,0.0
C3_BASAL_CELL_CARCINOMA_EXALLC,OT>=0.75,LL_low_prop_nonsig,4492,0,0.0
C3_BASAL_CELL_CARCINOMA_EXALLC,OT>=0.75,LR_high_prop_nonsig,12781,2,0.016
C3_PROSTATE_EXALLC,OT>=0.75,UL_low_prop_sig,142,0,0.0
C3_PROSTATE_EXALLC,OT>=0.75,UR_high_prop_sig,1141,1,0.088
C3_PROSTATE_EXALLC,OT>=0.75,LL_low_prop_nonsig,4459,0,0.0
C3_PROSTATE_EXALLC,OT>=0.75,LR_high_prop_nonsig,12660,5,0.039
C3_SKIN_EXALLC,OT>=0.75,UL_low_prop_sig,105,0,0.0
C3_SKIN_EXALLC,OT>=0.75,UR_high_prop_sig,1096,1,0.091
C3_SKIN_EXALLC,OT>=0.75,LL_low_prop_nonsig,4496,0,0.0
C3_SKIN_EXALLC,OT>=0.75,LR_high_prop_nonsig,12705,5,0.039
CARDIAC_ARRHYTM,OT>=0.75,UL_low_prop_sig,77,0,0.0
CARDIAC_ARRHYTM,OT>=0.75,UR_high_prop_sig,775,0,0.0
CARDIAC_ARRHYTM,OT>=0.75,LL_low_prop_nonsig,4523,0,0.0
CARDIAC_ARRHYTM,OT>=0.75,LR_high_prop_nonsig,13026,10,0.077
I9_CHD,OT>=0.75,UL_low_prop_sig,127,0,0.0
I9_CHD,OT>=0.75,UR_high_prop_sig,1309,1,0.076
I9_CHD,OT>=0.75,LL_low_prop_nonsig,4473,0,0.0
I9_CHD,OT>=0.75,LR_high_prop_nonsig,12490,0,0.0
I9_HYPTENS,OT>=0.75,UL_low_prop_sig,116,0,0.0
I9_HYPTENS,OT>=0.75,UR_high_prop_sig,1186,1,0.084
I9_HYPTENS,OT>=0.75,LL_low_prop_nonsig,4480,0,0.0
I9_HYPTENS,OT>=0.75,LR_high_prop_nonsig,12603,7,0.056
K11_IBD_STRICT,OT>=0.75,UL_low_prop_sig,138,0,0.0
K11_IBD_STRICT,OT>=0.75,UR_high_prop_sig,1314,4,0.304
K11_IBD_STRICT,OT>=0.75,LL_low_prop_nonsig,4461,0,0.0
K11_IBD_STRICT,OT>=0.75,LR_high_prop_nonsig,12481,1,0.008
L12_ATOPIC,OT>=0.75,UL_low_prop_sig,99,0,0.0
L12_ATOPIC,OT>=0.75,UR_high_prop_sig,933,0,0.0
L12_ATOPIC,OT>=0.75,LL_low_prop_nonsig,4503,0,0.0
L12_ATOPIC,OT>=0.75,LR_high_prop_nonsig,12872,1,0.008
T2D_WIDE,OT>=0.75,UL_low_prop_sig,70,0,0.0
T2D_WIDE,OT>=0.75,UR_high_prop_sig,831,0,0.0
T2D_WIDE,OT>=0.75,LL_low_prop_nonsig,4530,0,0.0
T2D_WIDE,OT>=0.75,LR_high_prop_nonsig,12970,10,0.077
AD_EO_EXMORE,ChEMBL,UL_low_prop_sig,130,0,0.0
AD_EO_EXMORE,ChEMBL,UR_high_prop_sig,1224,9,0.735
AD_EO_EXMORE,ChEMBL,LL_low_prop_nonsig,4471,0,0.0
AD_EO_EXMORE,ChEMBL,LR_high_prop_nonsig,12580,43,0.342
ALLERG_ASTHMA,ChEMBL,UL_low_prop_sig,63,0,0.0
ALLERG_ASTHMA,ChEMBL,UR_high_prop_sig,964,1,0.104
ALLERG_ASTHMA,ChEMBL,LL_low_prop_nonsig,4538,0,0.0
ALLERG_ASTHMA,ChEMBL,LR_high_prop_nonsig,12839,0,0.0
AUTOIMMUNE,ChEMBL,UL_low_prop_sig,125,0,0.0
AUTOIMMUNE,ChEMBL,UR_high_prop_sig,1283,39,3.04
AUTOIMMUNE,ChEMBL,LL_low_prop_nonsig,4474,15,0.335
AUTOIMMUNE,ChEMBL,LR_high_prop_nonsig,12515,111,0.887
C3_BASAL_CELL_CARCINOMA_EXALLC,ChEMBL,UL_low_prop_sig,108,0,0.0
C3_BASAL_CELL_CARCINOMA_EXALLC,ChEMBL,UR_high_prop_sig,1017,0,0.0
C3_BASAL_CELL_CARCINOMA_EXALLC,ChEMBL,LL_low_prop_nonsig,4492,0,0.0
C3_BASAL_CELL_CARCINOMA_EXALLC,ChEMBL,LR_high_prop_nonsig,12781,4,0.031
